"ID","Year","Park","Team","Name","Franchise_Name","Games","Wins","Losses","Attendance"
700,1919,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",140,67,72,349350
701,1919,"Robison Field","SLN","St. Louis Cardinals","St. Louis Cardinals",138,54,83,167059
702,1919,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",142,56,84,234096
703,1920,"Fenway Park I","BOS","Boston Red Sox","Boston Red Sox",154,72,81,402445
704,1920,"Ebbets Field","BRO","Brooklyn Robins","Los Angeles Dodgers",155,93,61,808722
705,1920,"Braves Field","BSN","Boston Braves","Atlanta Braves",153,62,90,162483
706,1920,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",154,96,58,833492
707,1920,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",154,75,79,480783
708,1920,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",154,82,71,568107
709,1920,"League Park II","CLE","Cleveland Indians","Cleveland Indians",154,98,56,912832
710,1920,"Navin Field","DET","Detroit Tigers","Detroit Tigers",155,61,93,579650
711,1920,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",155,86,68,929609
712,1920,"Polo Grounds IV","NYA","New York Yankees","New York Yankees",154,95,59,1289422
713,1920,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",156,48,106,287888
714,1920,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",153,62,91,330998
715,1920,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",155,79,75,429037
716,1920,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",154,76,77,419311
717,1920,"Robison Field/Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",155,75,79,326836
718,1920,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",153,68,84,359260
719,1921,"Fenway Park I","BOS","Boston Red Sox","Boston Red Sox",154,75,79,279273
720,1921,"Ebbets Field","BRO","Brooklyn Robins","Los Angeles Dodgers",152,77,75,613245
721,1921,"Braves Field","BSN","Boston Braves","Atlanta Braves",153,79,74,318627
722,1921,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",154,62,92,543650
723,1921,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",153,64,89,410107
724,1921,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",153,70,83,311227
725,1921,"League Park II","CLE","Cleveland Indians","Cleveland Indians",154,94,60,748705
726,1921,"Navin Field","DET","Detroit Tigers","Detroit Tigers",154,71,82,661527
727,1921,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",153,94,59,973477
728,1921,"Polo Grounds IV","NYA","New York Yankees","New York Yankees",153,98,55,1230696
729,1921,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",155,53,100,344430
730,1921,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",154,51,103,273961
731,1921,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",154,90,63,701567
732,1921,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",154,81,73,355978
733,1921,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",154,87,66,384773
734,1921,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",154,80,73,456069
735,1922,"Fenway Park I","BOS","Boston Red Sox","Boston Red Sox",154,61,93,259184
736,1922,"Ebbets Field","BRO","Brooklyn Robins","Los Angeles Dodgers",155,76,78,498865
737,1922,"Braves Field","BSN","Boston Braves","Atlanta Braves",154,53,100,167965
738,1922,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",155,77,77,602860
739,1922,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",156,80,74,542283
740,1922,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",156,86,68,493754
741,1922,"League Park II","CLE","Cleveland Indians","Cleveland Indians",155,78,76,528145
742,1922,"Navin Field","DET","Detroit Tigers","Detroit Tigers",155,79,75,861206
743,1922,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",156,93,61,945809
744,1922,"Polo Grounds IV","NYA","New York Yankees","New York Yankees",154,94,60,1026134
745,1922,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",155,65,89,425356
746,1922,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",154,57,96,232471
747,1922,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",155,85,69,523675
748,1922,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",154,93,61,712918
749,1922,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",154,85,69,536998
750,1922,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",154,69,85,458552
751,1923,"Fenway Park I","BOS","Boston Red Sox","Boston Red Sox",154,61,91,229688
752,1923,"Ebbets Field","BRO","Brooklyn Robins","Los Angeles Dodgers",155,76,78,564666
753,1923,"Braves Field","BSN","Boston Braves","Atlanta Braves",155,54,100,227802
754,1923,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",156,69,85,573778
755,1923,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",154,83,71,703705
756,1923,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",154,91,63,575063
757,1923,"League Park II","CLE","Cleveland Indians","Cleveland Indians",153,82,71,558856
758,1923,"Navin Field","DET","Detroit Tigers","Detroit Tigers",155,83,71,911377
759,1923,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",153,95,58,820780
760,1923,"Yankee Stadium I","NYA","New York Yankees","New York Yankees",152,98,54,1007066
761,1923,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",153,69,83,534122
762,1923,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",155,50,104,228168
763,1923,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",154,87,67,611082
764,1923,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",154,74,78,430296
765,1923,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",154,79,74,338551
766,1923,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",155,75,78,357406
767,1924,"Fenway Park I","BOS","Boston Red Sox","Boston Red Sox",157,67,87,448556
768,1924,"Ebbets Field","BRO","Brooklyn Robins","Los Angeles Dodgers",154,92,62,818883
769,1924,"Braves Field","BSN","Boston Braves","Atlanta Braves",154,53,100,177478
770,1924,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",154,66,87,606658
771,1924,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",154,81,72,716922
772,1924,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",153,83,70,473707
773,1924,"League Park II","CLE","Cleveland Indians","Cleveland Indians",153,67,86,481905
774,1924,"Navin Field","DET","Detroit Tigers","Detroit Tigers",156,86,68,1015136
775,1924,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",154,93,60,844068
776,1924,"Yankee Stadium I","NYA","New York Yankees","New York Yankees",153,89,63,1053533
777,1924,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",152,71,81,531992
778,1924,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",152,55,96,299818
779,1924,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",153,90,63,736883
780,1924,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",153,74,78,533349
781,1924,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",154,65,89,272885
782,1924,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",156,92,62,584310
783,1925,"Fenway Park I","BOS","Boston Red Sox","Boston Red Sox",152,47,105,267782
784,1925,"Ebbets Field","BRO","Brooklyn Robins","Los Angeles Dodgers",153,68,85,659435
785,1925,"Braves Field","BSN","Boston Braves","Atlanta Braves",153,70,83,313528
786,1925,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",154,79,75,832231
787,1925,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",154,68,86,622610
788,1925,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",153,80,73,464920
789,1925,"League Park II","CLE","Cleveland Indians","Cleveland Indians",155,70,84,419005
790,1925,"Navin Field","DET","Detroit Tigers","Detroit Tigers",156,81,73,820766
791,1925,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",152,86,66,778993
792,1925,"Yankee Stadium I","NYA","New York Yankees","New York Yankees",156,69,85,697267
793,1925,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",153,88,64,869703
794,1925,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",153,68,85,304905
795,1925,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",153,95,58,804354
796,1925,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",154,82,71,462898
797,1925,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",153,77,76,404959
798,1925,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",152,96,55,817199
799,1926,"Fenway Park I","BOS","Boston Red Sox","Boston Red Sox",154,46,107,285155
800,1926,"Ebbets Field","BRO","Brooklyn Robins","Los Angeles Dodgers",155,71,82,650819
801,1926,"Braves Field","BSN","Boston Braves","Atlanta Braves",153,66,86,303598
802,1926,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",155,81,72,710339
803,1926,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",155,82,72,885063
804,1926,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",157,87,67,672987
805,1926,"League Park II","CLE","Cleveland Indians","Cleveland Indians",154,88,66,627426
806,1926,"Navin Field","DET","Detroit Tigers","Detroit Tigers",157,79,75,711914
807,1926,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",151,74,77,700362
808,1926,"Yankee Stadium I","NYA","New York Yankees","New York Yankees",155,91,63,1027675
809,1926,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",150,83,67,714508
810,1926,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",152,58,93,240600
811,1926,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",157,84,69,798542
812,1926,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",155,62,92,283986
813,1926,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",156,89,65,668428
814,1926,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",152,81,69,551580
815,1927,"Fenway Park I","BOS","Boston Red Sox","Boston Red Sox",154,51,103,305275
816,1927,"Ebbets Field","BRO","Brooklyn Robins","Los Angeles Dodgers",154,65,88,637230
817,1927,"Braves Field","BSN","Boston Braves","Atlanta Braves",155,60,94,288685
818,1927,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",153,70,83,614423
819,1927,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",153,85,68,1159168
820,1927,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",153,75,78,442164
821,1927,"League Park II","CLE","Cleveland Indians","Cleveland Indians",153,66,87,373138
822,1927,"Navin Field","DET","Detroit Tigers","Detroit Tigers",156,82,71,773716
823,1927,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",155,92,62,858190
824,1927,"Yankee Stadium I","NYA","New York Yankees","New York Yankees",155,110,44,1164015
825,1927,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",155,91,63,605529
826,1927,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",155,51,103,305420
827,1927,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",156,94,60,869720
828,1927,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",155,59,94,247879
829,1927,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",153,92,61,749340
830,1927,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",157,85,69,528976
831,1928,"Fenway Park I","BOS","Boston Red Sox","Boston Red Sox",154,57,96,396920
832,1928,"Ebbets Field","BRO","Brooklyn Robins","Los Angeles Dodgers",155,77,76,664863
833,1928,"Braves Field","BSN","Boston Braves","Atlanta Braves",153,50,103,227001
834,1928,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",155,72,82,494152
835,1928,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",154,91,63,1143740
836,1928,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",153,78,74,490490
837,1928,"League Park II","CLE","Cleveland Indians","Cleveland Indians",155,62,92,375907
838,1928,"Navin Field","DET","Detroit Tigers","Detroit Tigers",154,68,86,474323
839,1928,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",155,93,61,916191
840,1928,"Yankee Stadium I","NYA","New York Yankees","New York Yankees",154,101,53,1072132
841,1928,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",153,98,55,689756
842,1928,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",152,43,109,182168
843,1928,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",152,85,67,495070
844,1928,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",154,82,72,339497
845,1928,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",154,95,59,761574
846,1928,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",155,75,79,378501
847,1929,"Fenway Park I","BOS","Boston Red Sox","Boston Red Sox",155,58,96,394620
848,1929,"Ebbets Field","BRO","Brooklyn Robins","Los Angeles Dodgers",153,70,83,731886
849,1929,"Braves Field","BSN","Boston Braves","Atlanta Braves",154,56,98,372351
850,1929,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",152,59,93,426795
851,1929,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",156,98,54,1485166
852,1929,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",155,66,88,295040
853,1929,"League Park II","CLE","Cleveland Indians","Cleveland Indians",152,81,71,536210
854,1929,"Navin Field","DET","Detroit Tigers","Detroit Tigers",155,70,84,869318
855,1929,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",152,84,67,868806
856,1929,"Yankee Stadium I","NYA","New York Yankees","New York Yankees",154,88,66,960148
857,1929,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",151,104,46,839176
858,1929,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",154,71,82,281200
859,1929,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",154,88,65,491377
860,1929,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",154,79,73,280697
861,1929,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",154,78,74,399887
862,1929,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",153,71,81,355506
863,1930,"Fenway Park I","BOS","Boston Red Sox","Boston Red Sox",154,52,102,444045
864,1930,"Ebbets Field","BRO","Brooklyn Robins","Los Angeles Dodgers",154,86,68,1097329
865,1930,"Braves Field","BSN","Boston Braves","Atlanta Braves",154,70,84,464835
866,1930,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",154,62,92,406123
867,1930,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",156,90,64,1463624
868,1930,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",154,59,95,386727
869,1930,"League Park II","CLE","Cleveland Indians","Cleveland Indians",154,81,73,528657
870,1930,"Navin Field","DET","Detroit Tigers","Detroit Tigers",154,75,79,649450
871,1930,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",154,87,67,868714
872,1930,"Yankee Stadium I","NYA","New York Yankees","New York Yankees",154,86,68,1169230
873,1930,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",154,102,52,721663
874,1930,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",156,52,102,299007
875,1930,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",154,80,74,357795
876,1930,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",154,64,90,152088
877,1930,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",154,92,62,508501
878,1930,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",154,94,60,614474
879,1931,"Fenway Park I","BOS","Boston Red Sox","Boston Red Sox",153,62,90,350975
880,1931,"Ebbets Field","BRO","Brooklyn Robins","Los Angeles Dodgers",153,79,73,753133
881,1931,"Braves Field","BSN","Boston Braves","Atlanta Braves",156,64,90,515005
882,1931,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",156,56,97,403550
883,1931,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",156,84,70,1086422
884,1931,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",154,58,96,263316
885,1931,"League Park II","CLE","Cleveland Indians","Cleveland Indians",155,78,76,483027
886,1931,"Navin Field","DET","Detroit Tigers","Detroit Tigers",154,61,93,434056
887,1931,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",153,87,65,812163
888,1931,"Yankee Stadium I","NYA","New York Yankees","New York Yankees",155,94,59,912437
889,1931,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",153,107,45,627464
890,1931,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",155,66,88,284849
891,1931,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",155,75,79,260392
892,1931,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",154,63,91,179126
893,1931,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",154,101,53,608535
894,1931,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",156,92,62,492657
895,1932,"Fenway Park I","BOS","Boston Red Sox","Boston Red Sox",154,43,111,182150
896,1932,"Ebbets Field","BRO","Brooklyn Dodgers","Los Angeles Dodgers",154,81,73,681827
897,1932,"Braves Field","BSN","Boston Braves","Atlanta Braves",155,77,77,507606
898,1932,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",152,49,102,233198
899,1932,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",154,90,64,974688
900,1932,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",155,60,94,356950
901,1932,"League Park II/Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",153,87,65,468953
902,1932,"Navin Field","DET","Detroit Tigers","Detroit Tigers",153,76,75,397157
903,1932,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",154,72,82,484868
904,1932,"Yankee Stadium I","NYA","New York Yankees","New York Yankees",156,107,47,962320
905,1932,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",154,94,60,405500
906,1932,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",154,78,76,268914
907,1932,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",154,86,68,287262
908,1932,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",154,63,91,112558
909,1932,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",156,72,82,279219
910,1932,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",154,93,61,371396
911,1933,"Fenway Park I","BOS","Boston Red Sox","Boston Red Sox",149,63,86,268715
912,1933,"Ebbets Field","BRO","Brooklyn Dodgers","Los Angeles Dodgers",157,65,88,526815
913,1933,"Braves Field","BSN","Boston Braves","Atlanta Braves",156,83,71,517803
914,1933,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",151,67,83,397789
915,1933,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",154,86,68,594112
916,1933,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",153,58,94,218281
917,1933,"League Park II/Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",151,75,76,387936
918,1933,"Navin Field","DET","Detroit Tigers","Detroit Tigers",155,75,79,320972
919,1933,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",156,91,61,604471
920,1933,"Yankee Stadium I","NYA","New York Yankees","New York Yankees",152,91,59,728014
921,1933,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",152,79,72,297138
922,1933,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",152,60,92,156421
923,1933,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",154,87,67,288747
924,1933,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",153,55,96,88113
925,1933,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",154,82,71,256171
926,1933,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",153,99,53,437533
927,1934,"Fenway Park II","BOS","Boston Red Sox","Boston Red Sox",153,76,76,610640
928,1934,"Ebbets Field","BRO","Brooklyn Dodgers","Los Angeles Dodgers",153,71,81,434188
929,1934,"Braves Field","BSN","Boston Braves","Atlanta Braves",152,78,73,303205
930,1934,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",153,53,99,236559
931,1934,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",152,86,65,707525
932,1934,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",152,52,99,206773
933,1934,"League Park II/Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",154,85,69,391338
934,1934,"Navin Field","DET","Detroit Tigers","Detroit Tigers",154,101,53,919161
935,1934,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",153,93,60,730851
936,1934,"Yankee Stadium I","NYA","New York Yankees","New York Yankees",154,94,60,854682
937,1934,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",153,68,82,305847
938,1934,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",149,56,93,169885
939,1934,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",151,74,76,322622
940,1934,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",154,67,85,115305
941,1934,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",154,95,58,325056
942,1934,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",155,66,86,330074
943,1935,"Fenway Park II","BOS","Boston Red Sox","Boston Red Sox",154,78,75,558568
944,1935,"Ebbets Field","BRO","Brooklyn Dodgers","Los Angeles Dodgers",154,70,83,470517
945,1935,"Braves Field","BSN","Boston Braves","Atlanta Braves",153,38,115,232754
946,1935,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",153,74,78,470281
947,1935,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",154,100,54,692604
948,1935,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",154,68,85,448247
949,1935,"League Park II/Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",156,82,71,397615
950,1935,"Navin Field","DET","Detroit Tigers","Detroit Tigers",152,93,58,1034929
951,1935,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",156,91,62,748748
952,1935,"Yankee Stadium I","NYA","New York Yankees","New York Yankees",149,89,60,657508
953,1935,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",149,58,91,233173
954,1935,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",156,64,89,205470
955,1935,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",153,86,67,352885
956,1935,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",155,65,87,80922
957,1935,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",154,96,58,506084
958,1935,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",154,67,86,255011
959,1936,"Fenway Park II","BOS","Boston Red Sox","Boston Red Sox",155,74,80,626895
960,1936,"Ebbets Field","BRO","Brooklyn Dodgers","Los Angeles Dodgers",156,67,87,489618
961,1936,"Braves Field","BSN","Boston Bees","Atlanta Braves",157,71,83,340585
962,1936,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",153,81,70,440810
963,1936,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",154,87,67,699370
964,1936,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",154,74,80,466345
965,1936,"League Park II/Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",157,80,74,500391
966,1936,"Navin Field","DET","Detroit Tigers","Detroit Tigers",154,83,71,875948
967,1936,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",154,92,62,837952
968,1936,"Yankee Stadium I","NYA","New York Yankees","New York Yankees",155,102,51,976913
969,1936,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",154,53,100,285173
970,1936,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",154,54,100,249219
971,1936,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",156,84,70,372524
972,1936,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",155,57,95,93267
973,1936,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",155,87,67,448078
974,1936,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",153,82,71,379525
975,1937,"Fenway Park II","BOS","Boston Red Sox","Boston Red Sox",154,80,72,559659
976,1937,"Ebbets Field","BRO","Brooklyn Dodgers","Los Angeles Dodgers",155,62,91,482481
977,1937,"Braves Field","BSN","Boston Bees","Atlanta Braves",152,79,73,385339
978,1937,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",154,86,68,589245
979,1937,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",154,93,61,895020
980,1937,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",155,56,98,411221
981,1937,"League Park II/Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",156,83,71,564849
982,1937,"Navin Field","DET","Detroit Tigers","Detroit Tigers",155,89,65,1072276
983,1937,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",152,95,57,926887
984,1937,"Yankee Stadium I","NYA","New York Yankees","New York Yankees",157,102,52,998148
985,1937,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",154,54,97,430738
986,1937,"Baker Bowl","PHI","Philadelphia Phillies","Philadelphia Phillies",155,61,92,212790
987,1937,"Forbes Field","PIT","Pittsburgh Pirates","Pittsburgh Pirates",154,86,68,459679
988,1937,"Sportsman's Park IV","SLA","St. Louis Browns","Baltimore Orioles",156,46,108,123121
989,1937,"Sportsman's Park IV","SLN","St. Louis Cardinals","St. Louis Cardinals",157,81,73,430811
990,1937,"Griffith Stadium I","WS1","Washington Senators","Minnesota Twins",158,73,80,397799
991,1938,"Fenway Park II","BOS","Boston Red Sox","Boston Red Sox",150,88,61,646459
992,1938,"Ebbets Field","BRO","Brooklyn Dodgers","Los Angeles Dodgers",151,69,80,663087
993,1938,"Braves Field","BSN","Boston Bees","Atlanta Braves",153,77,75,341149
994,1938,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",149,65,83,338278
995,1938,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",154,89,63,951640
996,1938,"Crosley Field","CIN","Cincinnati Reds","Cincinnati Reds",151,82,68,706756
997,1938,"League Park II/Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",153,86,66,652006
998,1938,"Briggs Stadium","DET","Detroit Tigers","Detroit Tigers",155,84,70,799557
999,1938,"Polo Grounds IV","NY1","New York Giants","San Francisco Giants",152,83,67,799633
1000,1938,"Yankee Stadium I","NYA","New York Yankees","New York Yankees",157,99,53,970916
1001,1938,"Shibe Park","PHA","Philadelphia Athletics","Oakland Athletics",154,53,99,385357
