"ID","Year","Park","Team","Name","Franchise_Name","Games","Wins","Losses","Attendance"
62,1877,"Louisville Baseball Park","LS1","Louisville Grays","Louisville Grays",61,35,25,NULL
63,1877,"Sportsman's Park I","SL3","St. Louis Brown Stockings","St. Louis Brown Stockings",60,28,32,NULL
64,1878,"South End Grounds I","BSN","Boston Red Caps","Atlanta Braves",60,41,19,NULL
65,1878,"Lake Front Park I","CHN","Chicago White Stockings","Chicago Cubs",61,30,30,NULL
66,1878,"Avenue Grounds","CN1","Cincinnati Reds","Cincinnati Reds",61,37,23,NULL
67,1878,"South Street Park","IN1","Indianapolis Blues","Indianapolis Blues",63,24,36,NULL
68,1878,"Eclipse Park II","ML2","Milwaukee Grays","Milwaukee Grays",61,15,45,NULL
69,1878,"Messer Street Grounds","PRO","Providence Grays","Providence Grays",62,33,27,NULL
70,1879,"Riverside Park","BFN","Buffalo Bisons","Buffalo Bisons",79,46,32,NULL
71,1879,"South End Grounds I","BSN","Boston Red Caps","Atlanta Braves",84,54,30,NULL
72,1879,"Lake Front Park I","CHN","Chicago White Stockings","Chicago Cubs",83,46,33,NULL
73,1879,"Kennard Street Park","CL2","Cleveland Blues","Cleveland Blues",82,27,55,NULL
74,1879,"Avenue Grounds","CN1","Cincinnati Reds","Cincinnati Reds",81,43,37,NULL
75,1879,"Messer Street Grounds","PRO","Providence Grays","Providence Grays",85,59,25,NULL
76,1879,"Newell Park","SR1","Syracuse Stars","Syracuse Stars",71,22,48,NULL
77,1879,"Putnam Grounds","TRN","Troy Trojans","Troy Trojans",77,19,56,NULL
78,1880,"Riverside Park","BFN","Buffalo Bisons","Buffalo Bisons",85,24,58,NULL
79,1880,"South End Grounds I","BSN","Boston Red Caps","Atlanta Braves",86,40,44,NULL
80,1880,"Lake Front Park I","CHN","Chicago White Stockings","Chicago Cubs",86,67,17,NULL
81,1880,"Kennard Street Park","CL2","Cleveland Blues","Cleveland Blues",85,47,37,NULL
82,1880,"Bank Street Grounds","CN1","Cincinnati Reds","Cincinnati Reds",83,21,59,NULL
83,1880,"Messer Street Grounds","PRO","Providence Grays","Providence Grays",87,52,32,NULL
84,1880,"Haymakers' Grounds","TRN","Troy Trojans","Troy Trojans",83,41,42,NULL
85,1880,"Worcester Driving Park Grounds","WOR","Worcester Ruby Legs","Worcester Ruby Legs",85,40,43,NULL
86,1881,"Riverside Park","BFN","Buffalo Bisons","Buffalo Bisons",83,45,38,NULL
87,1881,"South End Grounds I","BSN","Boston Red Caps","Atlanta Braves",83,38,45,NULL
88,1881,"Lake Front Park I","CHN","Chicago White Stockings","Chicago Cubs",84,56,28,NULL
89,1881,"Kennard Street Park","CL2","Cleveland Blues","Cleveland Blues",85,36,48,NULL
90,1881,"Recreation Park","DTN","Detroit Wolverines","Detroit Wolverines",84,41,43,NULL
91,1881,"Messer Street Grounds","PRO","Providence Grays","Providence Grays",85,47,37,NULL
92,1881,"Haymakers' Grounds","TRN","Troy Trojans","Troy Trojans",85,39,45,NULL
93,1881,"Worcester Driving Park Grounds","WOR","Worcester Ruby Legs","Worcester Ruby Legs",83,32,50,NULL
94,1882,"Riverside Park","BFN","Buffalo Bisons","Buffalo Bisons",84,45,39,NULL
95,1882,"Newington Park","BL2","Baltimore Orioles","Baltimore Orioles",74,19,54,NULL
96,1882,"South End Grounds I","BSN","Boston Red Caps","Atlanta Braves",85,45,39,NULL
